id,English,Hindi,Kannada,Tamil,Bengali,Assamese
169,Dispose of trash properly to protect beach resorts,[Hindi translation needed: Dispose of trash properly to protect beach resorts],[Kannada translation needed: Dispose of trash properly to protect beach resorts],[Tamil translation needed: Dispose of trash properly to protect beach resorts],[Bengali translation needed: Dispose of trash properly to protect beach resorts],[Assamese translation needed: Dispose of trash properly to protect beach resorts]
170,Carry at least 4 liters of water when hiking in mountain paths,[Hindi translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Kannada translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Tamil translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Bengali translation needed: Carry at least 4 liters of water when hiking in mountain paths],[Assamese translation needed: Carry at least 4 liters of water when hiking in mountain paths]
171,Inform a friend before exploring beach resorts alone,[Hindi translation needed: Inform a friend before exploring beach resorts alone],[Kannada translation needed: Inform a friend before exploring beach resorts alone],[Tamil translation needed: Inform a friend before exploring beach resorts alone],[Bengali translation needed: Inform a friend before exploring beach resorts alone],[Assamese translation needed: Inform a friend before exploring beach resorts alone]
172,Avoid flashing valuables in mountain paths to prevent theft,[Hindi translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Kannada translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Tamil translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Bengali translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Assamese translation needed: Avoid flashing valuables in mountain paths to prevent theft]
173,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
174,Keep emergency contacts saved before entering remote villages,[Hindi translation needed: Keep emergency contacts saved before entering remote villages],[Kannada translation needed: Keep emergency contacts saved before entering remote villages],[Tamil translation needed: Keep emergency contacts saved before entering remote villages],[Bengali translation needed: Keep emergency contacts saved before entering remote villages],[Assamese translation needed: Keep emergency contacts saved before entering remote villages]
175,Check weather alerts before traveling to city streets,[Hindi translation needed: Check weather alerts before traveling to city streets],[Kannada translation needed: Check weather alerts before traveling to city streets],[Tamil translation needed: Check weather alerts before traveling to city streets],[Bengali translation needed: Check weather alerts before traveling to city streets],[Assamese translation needed: Check weather alerts before traveling to city streets]
176,Use only registered guides in national parks,[Hindi translation needed: Use only registered guides in national parks],[Kannada translation needed: Use only registered guides in national parks],[Tamil translation needed: Use only registered guides in national parks],[Bengali translation needed: Use only registered guides in national parks],[Assamese translation needed: Use only registered guides in national parks]
177,Stay on marked paths while visiting city streets,[Hindi translation needed: Stay on marked paths while visiting city streets],[Kannada translation needed: Stay on marked paths while visiting city streets],[Tamil translation needed: Stay on marked paths while visiting city streets],[Bengali translation needed: Stay on marked paths while visiting city streets],[Assamese translation needed: Stay on marked paths while visiting city streets]
178,Respect wildlife and keep 13 meters away in river ferries,[Hindi translation needed: Respect wildlife and keep 13 meters away in river ferries],[Kannada translation needed: Respect wildlife and keep 13 meters away in river ferries],[Tamil translation needed: Respect wildlife and keep 13 meters away in river ferries],[Bengali translation needed: Respect wildlife and keep 13 meters away in river ferries],[Assamese translation needed: Respect wildlife and keep 13 meters away in river ferries]
179,Dispose of trash properly to protect remote villages,[Hindi translation needed: Dispose of trash properly to protect remote villages],[Kannada translation needed: Dispose of trash properly to protect remote villages],[Tamil translation needed: Dispose of trash properly to protect remote villages],[Bengali translation needed: Dispose of trash properly to protect remote villages],[Assamese translation needed: Dispose of trash properly to protect remote villages]
180,Carry at least 2 liters of water when hiking in mountain paths,[Hindi translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Kannada translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Tamil translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Bengali translation needed: Carry at least 2 liters of water when hiking in mountain paths],[Assamese translation needed: Carry at least 2 liters of water when hiking in mountain paths]
181,Inform a friend before exploring beach resorts alone,[Hindi translation needed: Inform a friend before exploring beach resorts alone],[Kannada translation needed: Inform a friend before exploring beach resorts alone],[Tamil translation needed: Inform a friend before exploring beach resorts alone],[Bengali translation needed: Inform a friend before exploring beach resorts alone],[Assamese translation needed: Inform a friend before exploring beach resorts alone]
182,Avoid flashing valuables in remote villages to prevent theft,[Hindi translation needed: Avoid flashing valuables in remote villages to prevent theft],[Kannada translation needed: Avoid flashing valuables in remote villages to prevent theft],[Tamil translation needed: Avoid flashing valuables in remote villages to prevent theft],[Bengali translation needed: Avoid flashing valuables in remote villages to prevent theft],[Assamese translation needed: Avoid flashing valuables in remote villages to prevent theft]
183,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
184,Keep emergency contacts saved before entering mountain paths,[Hindi translation needed: Keep emergency contacts saved before entering mountain paths],[Kannada translation needed: Keep emergency contacts saved before entering mountain paths],[Tamil translation needed: Keep emergency contacts saved before entering mountain paths],[Bengali translation needed: Keep emergency contacts saved before entering mountain paths],[Assamese translation needed: Keep emergency contacts saved before entering mountain paths]
185,Check weather alerts before traveling to heritage sites,[Hindi translation needed: Check weather alerts before traveling to heritage sites],[Kannada translation needed: Check weather alerts before traveling to heritage sites],[Tamil translation needed: Check weather alerts before traveling to heritage sites],[Bengali translation needed: Check weather alerts before traveling to heritage sites],[Assamese translation needed: Check weather alerts before traveling to heritage sites]
186,Use only registered guides in remote villages,[Hindi translation needed: Use only registered guides in remote villages],[Kannada translation needed: Use only registered guides in remote villages],[Tamil translation needed: Use only registered guides in remote villages],[Bengali translation needed: Use only registered guides in remote villages],[Assamese translation needed: Use only registered guides in remote villages]
187,Stay on marked paths while visiting busy markets,[Hindi translation needed: Stay on marked paths while visiting busy markets],[Kannada translation needed: Stay on marked paths while visiting busy markets],[Tamil translation needed: Stay on marked paths while visiting busy markets],[Bengali translation needed: Stay on marked paths while visiting busy markets],[Assamese translation needed: Stay on marked paths while visiting busy markets]
188,Respect wildlife and keep 13 meters away in heritage sites,[Hindi translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Kannada translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Tamil translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Bengali translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Assamese translation needed: Respect wildlife and keep 13 meters away in heritage sites]
189,Dispose of trash properly to protect national parks,[Hindi translation needed: Dispose of trash properly to protect national parks],[Kannada translation needed: Dispose of trash properly to protect national parks],[Tamil translation needed: Dispose of trash properly to protect national parks],[Bengali translation needed: Dispose of trash properly to protect national parks],[Assamese translation needed: Dispose of trash properly to protect national parks]
190,Carry at least 4 liters of water when hiking in national parks,[Hindi translation needed: Carry at least 4 liters of water when hiking in national parks],[Kannada translation needed: Carry at least 4 liters of water when hiking in national parks],[Tamil translation needed: Carry at least 4 liters of water when hiking in national parks],[Bengali translation needed: Carry at least 4 liters of water when hiking in national parks],[Assamese translation needed: Carry at least 4 liters of water when hiking in national parks]
191,Inform a friend before exploring river ferries alone,[Hindi translation needed: Inform a friend before exploring river ferries alone],[Kannada translation needed: Inform a friend before exploring river ferries alone],[Tamil translation needed: Inform a friend before exploring river ferries alone],[Bengali translation needed: Inform a friend before exploring river ferries alone],[Assamese translation needed: Inform a friend before exploring river ferries alone]
192,Avoid flashing valuables in national parks to prevent theft,[Hindi translation needed: Avoid flashing valuables in national parks to prevent theft],[Kannada translation needed: Avoid flashing valuables in national parks to prevent theft],[Tamil translation needed: Avoid flashing valuables in national parks to prevent theft],[Bengali translation needed: Avoid flashing valuables in national parks to prevent theft],[Assamese translation needed: Avoid flashing valuables in national parks to prevent theft]
193,Wear protective gear when riding bikes on heritage sites,[Hindi translation needed: Wear protective gear when riding bikes on heritage sites],[Kannada translation needed: Wear protective gear when riding bikes on heritage sites],[Tamil translation needed: Wear protective gear when riding bikes on heritage sites],[Bengali translation needed: Wear protective gear when riding bikes on heritage sites],[Assamese translation needed: Wear protective gear when riding bikes on heritage sites]
194,Keep emergency contacts saved before entering crowded trains,[Hindi translation needed: Keep emergency contacts saved before entering crowded trains],[Kannada translation needed: Keep emergency contacts saved before entering crowded trains],[Tamil translation needed: Keep emergency contacts saved before entering crowded trains],[Bengali translation needed: Keep emergency contacts saved before entering crowded trains],[Assamese translation needed: Keep emergency contacts saved before entering crowded trains]
195,Check weather alerts before traveling to river ferries,[Hindi translation needed: Check weather alerts before traveling to river ferries],[Kannada translation needed: Check weather alerts before traveling to river ferries],[Tamil translation needed: Check weather alerts before traveling to river ferries],[Bengali translation needed: Check weather alerts before traveling to river ferries],[Assamese translation needed: Check weather alerts before traveling to river ferries]
196,Use only registered guides in river ferries,[Hindi translation needed: Use only registered guides in river ferries],[Kannada translation needed: Use only registered guides in river ferries],[Tamil translation needed: Use only registered guides in river ferries],[Bengali translation needed: Use only registered guides in river ferries],[Assamese translation needed: Use only registered guides in river ferries]
197,Stay on marked paths while visiting heritage sites,[Hindi translation needed: Stay on marked paths while visiting heritage sites],[Kannada translation needed: Stay on marked paths while visiting heritage sites],[Tamil translation needed: Stay on marked paths while visiting heritage sites],[Bengali translation needed: Stay on marked paths while visiting heritage sites],[Assamese translation needed: Stay on marked paths while visiting heritage sites]
198,Respect wildlife and keep 13 meters away in city streets,[Hindi translation needed: Respect wildlife and keep 13 meters away in city streets],[Kannada translation needed: Respect wildlife and keep 13 meters away in city streets],[Tamil translation needed: Respect wildlife and keep 13 meters away in city streets],[Bengali translation needed: Respect wildlife and keep 13 meters away in city streets],[Assamese translation needed: Respect wildlife and keep 13 meters away in city streets]
199,Dispose of trash properly to protect remote villages,[Hindi translation needed: Dispose of trash properly to protect remote villages],[Kannada translation needed: Dispose of trash properly to protect remote villages],[Tamil translation needed: Dispose of trash properly to protect remote villages],[Bengali translation needed: Dispose of trash properly to protect remote villages],[Assamese translation needed: Dispose of trash properly to protect remote villages]
200,Carry at least 2 liters of water when hiking in busy markets,[Hindi translation needed: Carry at least 2 liters of water when hiking in busy markets],[Kannada translation needed: Carry at least 2 liters of water when hiking in busy markets],[Tamil translation needed: Carry at least 2 liters of water when hiking in busy markets],[Bengali translation needed: Carry at least 2 liters of water when hiking in busy markets],[Assamese translation needed: Carry at least 2 liters of water when hiking in busy markets]
201,Inform a friend before exploring national parks alone,[Hindi translation needed: Inform a friend before exploring national parks alone],[Kannada translation needed: Inform a friend before exploring national parks alone],[Tamil translation needed: Inform a friend before exploring national parks alone],[Bengali translation needed: Inform a friend before exploring national parks alone],[Assamese translation needed: Inform a friend before exploring national parks alone]
202,Avoid flashing valuables in busy markets to prevent theft,[Hindi translation needed: Avoid flashing valuables in busy markets to prevent theft],[Kannada translation needed: Avoid flashing valuables in busy markets to prevent theft],[Tamil translation needed: Avoid flashing valuables in busy markets to prevent theft],[Bengali translation needed: Avoid flashing valuables in busy markets to prevent theft],[Assamese translation needed: Avoid flashing valuables in busy markets to prevent theft]
203,Wear protective gear when riding bikes on national parks,[Hindi translation needed: Wear protective gear when riding bikes on national parks],[Kannada translation needed: Wear protective gear when riding bikes on national parks],[Tamil translation needed: Wear protective gear when riding bikes on national parks],[Bengali translation needed: Wear protective gear when riding bikes on national parks],[Assamese translation needed: Wear protective gear when riding bikes on national parks]
204,Keep emergency contacts saved before entering desert trails,[Hindi translation needed: Keep emergency contacts saved before entering desert trails],[Kannada translation needed: Keep emergency contacts saved before entering desert trails],[Tamil translation needed: Keep emergency contacts saved before entering desert trails],[Bengali translation needed: Keep emergency contacts saved before entering desert trails],[Assamese translation needed: Keep emergency contacts saved before entering desert trails]
205,Check weather alerts before traveling to crowded trains,[Hindi translation needed: Check weather alerts before traveling to crowded trains],[Kannada translation needed: Check weather alerts before traveling to crowded trains],[Tamil translation needed: Check weather alerts before traveling to crowded trains],[Bengali translation needed: Check weather alerts before traveling to crowded trains],[Assamese translation needed: Check weather alerts before traveling to crowded trains]
206,Use only registered guides in city streets,[Hindi translation needed: Use only registered guides in city streets],[Kannada translation needed: Use only registered guides in city streets],[Tamil translation needed: Use only registered guides in city streets],[Bengali translation needed: Use only registered guides in city streets],[Assamese translation needed: Use only registered guides in city streets]
207,Stay on marked paths while visiting remote villages,[Hindi translation needed: Stay on marked paths while visiting remote villages],[Kannada translation needed: Stay on marked paths while visiting remote villages],[Tamil translation needed: Stay on marked paths while visiting remote villages],[Bengali translation needed: Stay on marked paths while visiting remote villages],[Assamese translation needed: Stay on marked paths while visiting remote villages]
208,Respect wildlife and keep 13 meters away in heritage sites,[Hindi translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Kannada translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Tamil translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Bengali translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Assamese translation needed: Respect wildlife and keep 13 meters away in heritage sites]
209,Dispose of trash properly to protect busy markets,[Hindi translation needed: Dispose of trash properly to protect busy markets],[Kannada translation needed: Dispose of trash properly to protect busy markets],[Tamil translation needed: Dispose of trash properly to protect busy markets],[Bengali translation needed: Dispose of trash properly to protect busy markets],[Assamese translation needed: Dispose of trash properly to protect busy markets]
210,Carry at least 4 liters of water when hiking in busy markets,[Hindi translation needed: Carry at least 4 liters of water when hiking in busy markets],[Kannada translation needed: Carry at least 4 liters of water when hiking in busy markets],[Tamil translation needed: Carry at least 4 liters of water when hiking in busy markets],[Bengali translation needed: Carry at least 4 liters of water when hiking in busy markets],[Assamese translation needed: Carry at least 4 liters of water when hiking in busy markets]
211,Inform a friend before exploring heritage sites alone,[Hindi translation needed: Inform a friend before exploring heritage sites alone],[Kannada translation needed: Inform a friend before exploring heritage sites alone],[Tamil translation needed: Inform a friend before exploring heritage sites alone],[Bengali translation needed: Inform a friend before exploring heritage sites alone],[Assamese translation needed: Inform a friend before exploring heritage sites alone]
212,Avoid flashing valuables in remote villages to prevent theft,[Hindi translation needed: Avoid flashing valuables in remote villages to prevent theft],[Kannada translation needed: Avoid flashing valuables in remote villages to prevent theft],[Tamil translation needed: Avoid flashing valuables in remote villages to prevent theft],[Bengali translation needed: Avoid flashing valuables in remote villages to prevent theft],[Assamese translation needed: Avoid flashing valuables in remote villages to prevent theft]
213,Wear protective gear when riding bikes on remote villages,[Hindi translation needed: Wear protective gear when riding bikes on remote villages],[Kannada translation needed: Wear protective gear when riding bikes on remote villages],[Tamil translation needed: Wear protective gear when riding bikes on remote villages],[Bengali translation needed: Wear protective gear when riding bikes on remote villages],[Assamese translation needed: Wear protective gear when riding bikes on remote villages]
214,Keep emergency contacts saved before entering river ferries,[Hindi translation needed: Keep emergency contacts saved before entering river ferries],[Kannada translation needed: Keep emergency contacts saved before entering river ferries],[Tamil translation needed: Keep emergency contacts saved before entering river ferries],[Bengali translation needed: Keep emergency contacts saved before entering river ferries],[Assamese translation needed: Keep emergency contacts saved before entering river ferries]
215,Check weather alerts before traveling to desert trails,[Hindi translation needed: Check weather alerts before traveling to desert trails],[Kannada translation needed: Check weather alerts before traveling to desert trails],[Tamil translation needed: Check weather alerts before traveling to desert trails],[Bengali translation needed: Check weather alerts before traveling to desert trails],[Assamese translation needed: Check weather alerts before traveling to desert trails]
216,Use only registered guides in national parks,[Hindi translation needed: Use only registered guides in national parks],[Kannada translation needed: Use only registered guides in national parks],[Tamil translation needed: Use only registered guides in national parks],[Bengali translation needed: Use only registered guides in national parks],[Assamese translation needed: Use only registered guides in national parks]
217,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
218,Respect wildlife and keep 13 meters away in river ferries,[Hindi translation needed: Respect wildlife and keep 13 meters away in river ferries],[Kannada translation needed: Respect wildlife and keep 13 meters away in river ferries],[Tamil translation needed: Respect wildlife and keep 13 meters away in river ferries],[Bengali translation needed: Respect wildlife and keep 13 meters away in river ferries],[Assamese translation needed: Respect wildlife and keep 13 meters away in river ferries]
219,Dispose of trash properly to protect heritage sites,[Hindi translation needed: Dispose of trash properly to protect heritage sites],[Kannada translation needed: Dispose of trash properly to protect heritage sites],[Tamil translation needed: Dispose of trash properly to protect heritage sites],[Bengali translation needed: Dispose of trash properly to protect heritage sites],[Assamese translation needed: Dispose of trash properly to protect heritage sites]
220,Carry at least 2 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 2 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 2 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 2 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 2 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 2 liters of water when hiking in river ferries]
221,Inform a friend before exploring mountain paths alone,[Hindi translation needed: Inform a friend before exploring mountain paths alone],[Kannada translation needed: Inform a friend before exploring mountain paths alone],[Tamil translation needed: Inform a friend before exploring mountain paths alone],[Bengali translation needed: Inform a friend before exploring mountain paths alone],[Assamese translation needed: Inform a friend before exploring mountain paths alone]
222,Avoid flashing valuables in heritage sites to prevent theft,[Hindi translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Kannada translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Tamil translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Bengali translation needed: Avoid flashing valuables in heritage sites to prevent theft],[Assamese translation needed: Avoid flashing valuables in heritage sites to prevent theft]
223,Wear protective gear when riding bikes on desert trails,[Hindi translation needed: Wear protective gear when riding bikes on desert trails],[Kannada translation needed: Wear protective gear when riding bikes on desert trails],[Tamil translation needed: Wear protective gear when riding bikes on desert trails],[Bengali translation needed: Wear protective gear when riding bikes on desert trails],[Assamese translation needed: Wear protective gear when riding bikes on desert trails]
224,Keep emergency contacts saved before entering national parks,[Hindi translation needed: Keep emergency contacts saved before entering national parks],[Kannada translation needed: Keep emergency contacts saved before entering national parks],[Tamil translation needed: Keep emergency contacts saved before entering national parks],[Bengali translation needed: Keep emergency contacts saved before entering national parks],[Assamese translation needed: Keep emergency contacts saved before entering national parks]
225,Check weather alerts before traveling to remote villages,[Hindi translation needed: Check weather alerts before traveling to remote villages],[Kannada translation needed: Check weather alerts before traveling to remote villages],[Tamil translation needed: Check weather alerts before traveling to remote villages],[Bengali translation needed: Check weather alerts before traveling to remote villages],[Assamese translation needed: Check weather alerts before traveling to remote villages]
226,Use only registered guides in mountain paths,[Hindi translation needed: Use only registered guides in mountain paths],[Kannada translation needed: Use only registered guides in mountain paths],[Tamil translation needed: Use only registered guides in mountain paths],[Bengali translation needed: Use only registered guides in mountain paths],[Assamese translation needed: Use only registered guides in mountain paths]
227,Stay on marked paths while visiting busy markets,[Hindi translation needed: Stay on marked paths while visiting busy markets],[Kannada translation needed: Stay on marked paths while visiting busy markets],[Tamil translation needed: Stay on marked paths while visiting busy markets],[Bengali translation needed: Stay on marked paths while visiting busy markets],[Assamese translation needed: Stay on marked paths while visiting busy markets]
228,Respect wildlife and keep 13 meters away in national parks,[Hindi translation needed: Respect wildlife and keep 13 meters away in national parks],[Kannada translation needed: Respect wildlife and keep 13 meters away in national parks],[Tamil translation needed: Respect wildlife and keep 13 meters away in national parks],[Bengali translation needed: Respect wildlife and keep 13 meters away in national parks],[Assamese translation needed: Respect wildlife and keep 13 meters away in national parks]
229,Dispose of trash properly to protect heritage sites,[Hindi translation needed: Dispose of trash properly to protect heritage sites],[Kannada translation needed: Dispose of trash properly to protect heritage sites],[Tamil translation needed: Dispose of trash properly to protect heritage sites],[Bengali translation needed: Dispose of trash properly to protect heritage sites],[Assamese translation needed: Dispose of trash properly to protect heritage sites]
230,Carry at least 4 liters of water when hiking in city streets,[Hindi translation needed: Carry at least 4 liters of water when hiking in city streets],[Kannada translation needed: Carry at least 4 liters of water when hiking in city streets],[Tamil translation needed: Carry at least 4 liters of water when hiking in city streets],[Bengali translation needed: Carry at least 4 liters of water when hiking in city streets],[Assamese translation needed: Carry at least 4 liters of water when hiking in city streets]
231,Inform a friend before exploring crowded trains alone,[Hindi translation needed: Inform a friend before exploring crowded trains alone],[Kannada translation needed: Inform a friend before exploring crowded trains alone],[Tamil translation needed: Inform a friend before exploring crowded trains alone],[Bengali translation needed: Inform a friend before exploring crowded trains alone],[Assamese translation needed: Inform a friend before exploring crowded trains alone]
232,Avoid flashing valuables in mountain paths to prevent theft,[Hindi translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Kannada translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Tamil translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Bengali translation needed: Avoid flashing valuables in mountain paths to prevent theft],[Assamese translation needed: Avoid flashing valuables in mountain paths to prevent theft]
233,Wear protective gear when riding bikes on crowded trains,[Hindi translation needed: Wear protective gear when riding bikes on crowded trains],[Kannada translation needed: Wear protective gear when riding bikes on crowded trains],[Tamil translation needed: Wear protective gear when riding bikes on crowded trains],[Bengali translation needed: Wear protective gear when riding bikes on crowded trains],[Assamese translation needed: Wear protective gear when riding bikes on crowded trains]
234,Keep emergency contacts saved before entering desert trails,[Hindi translation needed: Keep emergency contacts saved before entering desert trails],[Kannada translation needed: Keep emergency contacts saved before entering desert trails],[Tamil translation needed: Keep emergency contacts saved before entering desert trails],[Bengali translation needed: Keep emergency contacts saved before entering desert trails],[Assamese translation needed: Keep emergency contacts saved before entering desert trails]
235,Check weather alerts before traveling to river ferries,[Hindi translation needed: Check weather alerts before traveling to river ferries],[Kannada translation needed: Check weather alerts before traveling to river ferries],[Tamil translation needed: Check weather alerts before traveling to river ferries],[Bengali translation needed: Check weather alerts before traveling to river ferries],[Assamese translation needed: Check weather alerts before traveling to river ferries]
236,Use only registered guides in mountain paths,[Hindi translation needed: Use only registered guides in mountain paths],[Kannada translation needed: Use only registered guides in mountain paths],[Tamil translation needed: Use only registered guides in mountain paths],[Bengali translation needed: Use only registered guides in mountain paths],[Assamese translation needed: Use only registered guides in mountain paths]
237,Stay on marked paths while visiting crowded trains,[Hindi translation needed: Stay on marked paths while visiting crowded trains],[Kannada translation needed: Stay on marked paths while visiting crowded trains],[Tamil translation needed: Stay on marked paths while visiting crowded trains],[Bengali translation needed: Stay on marked paths while visiting crowded trains],[Assamese translation needed: Stay on marked paths while visiting crowded trains]
238,Respect wildlife and keep 13 meters away in busy markets,[Hindi translation needed: Respect wildlife and keep 13 meters away in busy markets],[Kannada translation needed: Respect wildlife and keep 13 meters away in busy markets],[Tamil translation needed: Respect wildlife and keep 13 meters away in busy markets],[Bengali translation needed: Respect wildlife and keep 13 meters away in busy markets],[Assamese translation needed: Respect wildlife and keep 13 meters away in busy markets]
239,Dispose of trash properly to protect beach resorts,[Hindi translation needed: Dispose of trash properly to protect beach resorts],[Kannada translation needed: Dispose of trash properly to protect beach resorts],[Tamil translation needed: Dispose of trash properly to protect beach resorts],[Bengali translation needed: Dispose of trash properly to protect beach resorts],[Assamese translation needed: Dispose of trash properly to protect beach resorts]
240,Carry at least 2 liters of water when hiking in heritage sites,[Hindi translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Kannada translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Tamil translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Bengali translation needed: Carry at least 2 liters of water when hiking in heritage sites],[Assamese translation needed: Carry at least 2 liters of water when hiking in heritage sites]
241,Inform a friend before exploring heritage sites alone,[Hindi translation needed: Inform a friend before exploring heritage sites alone],[Kannada translation needed: Inform a friend before exploring heritage sites alone],[Tamil translation needed: Inform a friend before exploring heritage sites alone],[Bengali translation needed: Inform a friend before exploring heritage sites alone],[Assamese translation needed: Inform a friend before exploring heritage sites alone]
242,Avoid flashing valuables in national parks to prevent theft,[Hindi translation needed: Avoid flashing valuables in national parks to prevent theft],[Kannada translation needed: Avoid flashing valuables in national parks to prevent theft],[Tamil translation needed: Avoid flashing valuables in national parks to prevent theft],[Bengali translation needed: Avoid flashing valuables in national parks to prevent theft],[Assamese translation needed: Avoid flashing valuables in national parks to prevent theft]
243,Wear protective gear when riding bikes on desert trails,[Hindi translation needed: Wear protective gear when riding bikes on desert trails],[Kannada translation needed: Wear protective gear when riding bikes on desert trails],[Tamil translation needed: Wear protective gear when riding bikes on desert trails],[Bengali translation needed: Wear protective gear when riding bikes on desert trails],[Assamese translation needed: Wear protective gear when riding bikes on desert trails]
244,Keep emergency contacts saved before entering mountain paths,[Hindi translation needed: Keep emergency contacts saved before entering mountain paths],[Kannada translation needed: Keep emergency contacts saved before entering mountain paths],[Tamil translation needed: Keep emergency contacts saved before entering mountain paths],[Bengali translation needed: Keep emergency contacts saved before entering mountain paths],[Assamese translation needed: Keep emergency contacts saved before entering mountain paths]
245,Check weather alerts before traveling to desert trails,[Hindi translation needed: Check weather alerts before traveling to desert trails],[Kannada translation needed: Check weather alerts before traveling to desert trails],[Tamil translation needed: Check weather alerts before traveling to desert trails],[Bengali translation needed: Check weather alerts before traveling to desert trails],[Assamese translation needed: Check weather alerts before traveling to desert trails]
246,Use only registered guides in crowded trains,[Hindi translation needed: Use only registered guides in crowded trains],[Kannada translation needed: Use only registered guides in crowded trains],[Tamil translation needed: Use only registered guides in crowded trains],[Bengali translation needed: Use only registered guides in crowded trains],[Assamese translation needed: Use only registered guides in crowded trains]
247,Stay on marked paths while visiting river ferries,[Hindi translation needed: Stay on marked paths while visiting river ferries],[Kannada translation needed: Stay on marked paths while visiting river ferries],[Tamil translation needed: Stay on marked paths while visiting river ferries],[Bengali translation needed: Stay on marked paths while visiting river ferries],[Assamese translation needed: Stay on marked paths while visiting river ferries]
248,Respect wildlife and keep 13 meters away in heritage sites,[Hindi translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Kannada translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Tamil translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Bengali translation needed: Respect wildlife and keep 13 meters away in heritage sites],[Assamese translation needed: Respect wildlife and keep 13 meters away in heritage sites]
249,Dispose of trash properly to protect heritage sites,[Hindi translation needed: Dispose of trash properly to protect heritage sites],[Kannada translation needed: Dispose of trash properly to protect heritage sites],[Tamil translation needed: Dispose of trash properly to protect heritage sites],[Bengali translation needed: Dispose of trash properly to protect heritage sites],[Assamese translation needed: Dispose of trash properly to protect heritage sites]
250,Carry at least 4 liters of water when hiking in river ferries,[Hindi translation needed: Carry at least 4 liters of water when hiking in river ferries],[Kannada translation needed: Carry at least 4 liters of water when hiking in river ferries],[Tamil translation needed: Carry at least 4 liters of water when hiking in river ferries],[Bengali translation needed: Carry at least 4 liters of water when hiking in river ferries],[Assamese translation needed: Carry at least 4 liters of water when hiking in river ferries]
251,Inform a friend before exploring busy markets alone,[Hindi translation needed: Inform a friend before exploring busy markets alone],[Kannada translation needed: Inform a friend before exploring busy markets alone],[Tamil translation needed: Inform a friend before exploring busy markets alone],[Bengali translation needed: Inform a friend before exploring busy markets alone],[Assamese translation needed: Inform a friend before exploring busy markets alone]
252,Avoid flashing valuables in desert trails to prevent theft,[Hindi translation needed: Avoid flashing valuables in desert trails to prevent theft],[Kannada translation needed: Avoid flashing valuables in desert trails to prevent theft],[Tamil translation needed: Avoid flashing valuables in desert trails to prevent theft],[Bengali translation needed: Avoid flashing valuables in desert trails to prevent theft],[Assamese translation needed: Avoid flashing valuables in desert trails to prevent theft]
